source,replacement,source_character,replacement_character,family,direction,operation,LEGIT_q25,LEGIT_mean,LEGIT_median,LEGIT_min,LEGIT_max,num_scored_examples,meets_min_support,lookup_version,input_source,unicode_name
a,ǝ,a,ǝ,ocr,single_character,a_to_ǝ,3.6899567246437073,4.019191759362002,4.2950990200042725,-0.5337586998939514,5.0786662101745605,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER TURNED E
a,ə,a,ə,ocr,single_character,a_to_ə,3.6899567246437073,4.019191759362002,4.2950990200042725,-0.5337586998939514,5.0786662101745605,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER SCHWA
a,ә,a,ә,ocr,single_character,a_to_ә,3.6899567246437073,4.019191759362002,4.2950990200042725,-0.5337586998939514,5.0786662101745605,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,CYRILLIC SMALL LETTER SCHWA
b,ե,b,ե,ocr,single_character,b_to_ե,1.2151216864585876,1.925717759229883,2.0484602451324463,-2.032522439956665,4.388519763946533,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,ARMENIAN SMALL LETTER ECH
d,մ,d,մ,ocr,single_character,d_to_մ,0.9592073261737823,1.7923650645743692,1.9879961013793945,-1.9855225086212158,4.105803489685059,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,ARMENIAN SMALL LETTER MEN
e,ɵ,e,ɵ,ocr,single_character,e_to_ɵ,2.9081133604049683,3.404274290835019,3.5790886878967285,0.2034911811351776,4.962026119232178,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER BARRED O
e,ѳ,e,ѳ,ocr,single_character,e_to_ѳ,2.9081133604049683,3.404274290835019,3.5790886878967285,0.2034911811351776,4.962026119232178,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,CYRILLIC SMALL LETTER FITA
e,ө,e,ө,ocr,single_character,e_to_ө,2.9081133604049683,3.404274290835019,3.5790886878967285,0.2034911811351776,4.962026119232178,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,CYRILLIC SMALL LETTER BARRED O
i,ı,i,ı,ocr,single_character,i_to_ı,3.903085947036743,4.2001571389555465,4.392777681350708,-0.0863463431596756,5.0064826011657715,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER DOTLESS I
l,ƚ,l,ƚ,ocr,single_character,l_to_ƚ,3.596762001514435,3.953080539475195,4.166825294494629,0.8523524403572083,5.0716552734375,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER L WITH BAR
l,𝗅,l,𝗅,ocr,single_character,l_to_𝗅,1.6431658565998077,2.184860751076485,2.27644419670105,-1.351515531539917,4.110899448394775,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,MATHEMATICAL SANS-SERIF SMALL L
n,п,n,п,ocr,single_character,n_to_п,3.0834213495254517,3.5798647123156115,3.7233548164367676,-0.7597669959068298,4.95175313949585,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,CYRILLIC SMALL LETTER PE
n,ᴨ,n,ᴨ,ocr,single_character,n_to_ᴨ,2.865816593170166,3.3238135151332244,3.448110342025757,-0.7064630389213562,4.812513828277588,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,GREEK LETTER SMALL CAPITAL PI
o,ם,o,ם,ocr,single_character,o_to_ם,2.3276809453964233,2.740966711222427,2.8675845861434937,-1.4112193584442139,4.400343418121338,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,HEBREW LETTER FINAL MEM
o,ɑ,o,ɑ,ocr,single_character,o_to_ɑ,2.130119204521179,2.849645143766793,3.0782498121261597,-1.6451690196990967,5.022806644439697,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER ALPHA
o,ɢ,o,ɢ,ocr,single_character,o_to_ɢ,1.2818621397018433,2.0679511947309948,2.199836850166321,-1.6210389137268066,4.776862621307373,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN LETTER SMALL CAPITAL G
p,ր,p,ր,ocr,single_character,p_to_ր,2.0254710912704468,2.905910953667444,3.240316152572632,-2.117211103439331,5.079682350158691,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,ARMENIAN SMALL LETTER REH
q,ɥ,q,ɥ,ocr,single_character,q_to_ɥ,1.1001687049865723,2.3420915534143205,2.7141512632369995,-1.6738598346710205,4.877580642700195,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN SMALL LETTER TURNED H
s,ᴣ,s,ᴣ,ocr,single_character,s_to_ᴣ,2.347362995147705,2.7981003789172973,2.979743719100952,-1.653793454170227,4.49325704574585,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,LATIN LETTER SMALL CAPITAL EZH
u,џ,u,џ,ocr,single_character,u_to_џ,1.8049224317073822,2.5344434114658725,2.6551822423934937,-1.1853325366973877,4.747837543487549,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,CYRILLIC SMALL LETTER DZHE
u,ߎ,u,ߎ,ocr,single_character,u_to_ߎ,1.3466537594795227,2.132444015565852,2.1572059392929077,-1.6254280805587769,5.011838912963867,512,True,validation_scored_lookups_v2_2026_06_29,lookup_tables/in_use/ocr_confusable_approved.csv,NKO LETTER U
