epoch,train_loss,val_loss,val_auc
1,0.2343882062636469,0.1474788286606304,0.9860884986347708
2,0.1203274629268262,0.10891903421920453,0.9915605678530833
3,0.09802203003126198,0.09836984560037419,0.9929853716857969
4,0.08465934185809519,0.0891573703580975,0.9939786240434728
5,0.07943162614427846,0.08498089944738688,0.9944863918828941
6,0.07623208240948641,0.08078170406671897,0.9948600459310873
7,0.07428504612499066,0.07438254544288084,0.9957920028188074
8,0.07109044432182686,0.080094979825032,0.9947954613296596
9,0.07439818762982706,0.08248208775588817,0.9949228225993216
10,0.074164471787225,0.07572420313032252,0.995051773978901
11,0.07123368328207037,0.08099516694995537,0.9944100666068728
12,0.07223995453699911,0.08000521018116823,0.9946386067883839
13,0.07010843411006867,0.0746300512185619,0.9955697795123094
14,0.06798085064729363,0.08067777903169522,0.9947869880042108
15,0.07154913107362869,0.08949183360595714,0.9942862340742868
16,0.07151768621825662,0.07952286171341183,0.9945505190554415
17,0.06807231983590395,0.07300371514822003,0.995557799232112
18,0.06798445546260636,0.07537806443822566,0.9951042693884934
19,0.0652049938427176,0.07187275079167736,0.9955347535294777
20,0.06682570300468371,0.07148997565776673,0.995378617805014
